facet,year,series,value
MENA,2012,Algeria,29.2321481355178
MENA,2012,Egypt,82.9925152660495
MENA,2012,Iran,63.7854557850628
MENA,2012,Iraq,73.5650431781845
MENA,2012,Jordan,68.5434807969097
MENA,2012,Morocco,41.6249717412827
MENA,2012,Tunisia,42.6261716665654
MENA,2012,Türkiye,71.0207321679071
MENA,2012,Region average,59.1738148421849
MENA,2013,Algeria,29.8818270395793
MENA,2013,Egypt,81.5485884935277
MENA,2013,Iran,66.0582455274187
MENA,2013,Iraq,71.7070999431639
MENA,2013,Jordan,66.5115977099753
MENA,2013,Morocco,41.9167250923094
MENA,2013,Tunisia,42.8626765606552
MENA,2013,Türkiye,69.9462806658007
MENA,2013,Region average,58.8041301290538
MENA,2014,Algeria,29.4352295735323
MENA,2014,Egypt,80.3980853237839
MENA,2014,Iran,68.3593830358945
MENA,2014,Iraq,70.6724885696353
MENA,2014,Jordan,67.4760680083773
MENA,2014,Morocco,41.9967671355267
MENA,2014,Tunisia,43.8549584555887
MENA,2014,Türkiye,68.4977718674361
MENA,2014,Region average,58.8363439962218
MENA,2015,Algeria,28.9886321074852
MENA,2015,Egypt,79.24758215404
MENA,2015,Iran,67.2000998860091
MENA,2015,Iraq,69.6378771961066
MENA,2015,Jordan,68.4405383067794
MENA,2015,Morocco,42.0768091787441
MENA,2015,Tunisia,44.8472403505223
MENA,2015,Türkiye,67.250663321447
MENA,2015,Region average,58.4611803126417
MENA,2016,Algeria,28.5420346414381
MENA,2016,Egypt,78.0970789842961
MENA,2016,Iran,66.5765151328812
MENA,2016,Iraq,68.603265822578
MENA,2016,Jordan,69.4050086051815
MENA,2016,Morocco,42.1568512219614
MENA,2016,Tunisia,46.217703845574
MENA,2016,Türkiye,67.0192129067535
MENA,2016,Region average,58.327208895083
MENA,2017,Algeria,28.7135465376069
MENA,2017,Egypt,75.4776502410779
MENA,2017,Iran,66.2058896206922
MENA,2017,Iraq,67.5686544490493
MENA,2017,Jordan,68.6953196772282
MENA,2017,Morocco,39.7328211850269
MENA,2017,Tunisia,45.2978653026861
MENA,2017,Türkiye,66.7842710736804
MENA,2017,Region average,57.309502260881
MENA,2018,Algeria,28.8850584337757
MENA,2018,Egypt,72.8582214978597
MENA,2018,Iran,67.3658895705534
MENA,2018,Iraq,66.5340430755206
MENA,2018,Jordan,67.9856307492749
MENA,2018,Morocco,37.3087911480924
MENA,2018,Tunisia,44.6401194880103
MENA,2018,Türkiye,66.277128624245
MENA,2018,Region average,56.4818603234165
MENA,2019,Algeria,29.0565703299444
MENA,2019,Egypt,70.2387927546414
MENA,2019,Iran,67.8052312915177
MENA,2019,Iraq,65.499431701992
MENA,2019,Jordan,67.2759418213216
MENA,2019,Morocco,34.8847611111578
MENA,2019,Tunisia,43.9823736733344
MENA,2019,Türkiye,65.2643213902581
MENA,2019,Region average,55.5009280092709
MENA,2020,Algeria,28.1011928790075
MENA,2020,Egypt,66.6173412769371
MENA,2020,Iran,66.6853756710584
MENA,2020,Iraq,63.0065054555215
MENA,2020,Jordan,63.2605627870684
MENA,2020,Morocco,32.0229964071006
MENA,2020,Tunisia,42.517967044306
MENA,2020,Türkiye,63.7816494819759
MENA,2020,Region average,53.2491988753719
MENA,2021,Algeria,27.1458154280706
MENA,2021,Egypt,62.9958897992328
MENA,2021,Iran,66.1099405968089
MENA,2021,Iraq,60.5135792090511
MENA,2021,Jordan,59.2451837528153
